code,total_score,trend,reversion,volume,close,stop_loss,rsi,mom_20,date,rsi_rank,mom_rank
sz.301631,0.757,0.3,0.0,1.0,103.78,95.61,63.27,-0.0453,2026-02-26,0.5031948881789138,0.12939297124600638
sz.301600,0.757,0.3,0.0,1.0,127.45,116.61,51.74,-0.0334,2026-02-26,0.13019169329073482,0.17412140575079874
sz.300850,0.757,0.3,0.0,1.0,48.78,44.34,69.39,0.0085,2026-02-26,0.7348242811501597,0.365814696485623
sz.002019,0.757,0.3,0.0,1.0,13.1,12.31,71.96,0.0372,2026-02-26,0.8146964856230032,0.5447284345047924
sz.002179,0.757,0.3,0.0,1.0,35.86,33.62,58.74,-0.0261,2026-02-26,0.31150159744408945,0.2036741214057508
sz.301155,0.757,0.3,0.0,1.0,79.0,70.19,53.84,-0.1118,2026-02-26,0.17651757188498401,0.019169329073482427
sz.002685,0.757,0.3,0.0,1.0,7.69,7.09,68.77,0.0226,2026-02-26,0.7044728434504792,0.4480830670926518
sz.002965,0.757,0.3,0.0,1.0,36.49,33.95,56.91,-0.0903,2026-02-26,0.24920127795527156,0.03194888178913738
sz.001696,0.757,0.3,0.0,1.0,21.44,19.95,57.54,-0.045,2026-02-26,0.28753993610223644,0.13099041533546327
sz.002255,0.757,0.3,0.0,1.0,13.2,12.1,64.84,-0.0186,2026-02-26,0.5575079872204473,0.2292332268370607
sh.600794,0.757,0.3,0.0,1.0,4.13,3.9,71.88,0.0377,2026-02-26,0.8115015974440895,0.549520766773163
sz.002626,0.757,0.3,0.0,1.0,19.59,18.35,59.51,-0.0316,2026-02-26,0.3466453674121406,0.18450479233226838
sz.002468,0.757,0.3,0.0,1.0,13.11,12.19,51.74,-0.0445,2026-02-26,0.13019169329073482,0.134185303514377
sz.300456,0.757,0.3,0.0,1.0,57.65,48.6,59.24,0.0116,2026-02-26,0.33386581469648563,0.3817891373801917
sz.300443,0.757,0.3,0.0,1.0,28.41,26.1,57.26,-0.0888,2026-02-26,0.2715654952076677,0.036741214057507986
sz.000403,0.757,0.3,0.0,1.0,14.15,13.44,63.52,0.0151,2026-02-26,0.5175718849840255,0.40894568690095845
sz.000034,0.757,0.3,0.0,1.0,38.47,35.35,53.84,-0.0529,2026-02-26,0.17651757188498401,0.10383386581469649
sz.000993,0.757,0.3,0.0,1.0,13.12,12.01,64.58,0.0178,2026-02-26,0.5463258785942492,0.42012779552715657
sz.000661,0.757,0.3,0.0,1.0,98.5,91.48,66.47,0.0103,2026-02-26,0.6150159744408946,0.3738019169329074
sz.000099,0.757,0.3,0.0,1.0,20.5,19.3,53.96,-0.0289,2026-02-26,0.18210862619808307,0.19488817891373802
sz.300573,0.757,0.3,0.0,1.0,72.7,67.67,57.22,-0.0722,2026-02-26,0.268370607028754,0.06070287539936102
sh.603501,0.757,0.3,0.0,1.0,122.6,115.45,58.12,-0.0484,2026-02-26,0.2987220447284345,0.12140575079872204
sh.603969,0.757,0.3,0.0,1.0,10.68,9.8,64.13,-0.0102,2026-02-26,0.5383386581469649,0.2763578274760383
sh.603606,0.757,0.3,0.0,1.0,60.3,55.48,63.47,0.0295,2026-02-26,0.5159744408945687,0.5071884984025559
sz.300547,0.757,0.3,0.0,1.0,38.01,34.06,63.26,0.0104,2026-02-26,0.5015974440894568,0.3753993610223642
sh.603296,0.757,0.3,0.0,1.0,92.2,85.2,66.12,0.0256,2026-02-26,0.6022364217252396,0.481629392971246
sh.603269,0.757,0.3,0.0,1.0,13.63,12.44,68.75,0.0287,2026-02-26,0.702076677316294,0.5015974440894568
sz.300693,0.757,0.3,0.0,1.0,40.04,36.67,57.36,-0.034,2026-02-26,0.2779552715654952,0.17172523961661343
sh.600483,0.757,0.3,0.0,1.0,10.15,9.71,80.36,0.0684,2026-02-26,0.9600638977635783,0.6829073482428115
sz.002120,0.714,0.0,0.0,1.0,6.94,6.68,52.95,-0.0114,2026-02-26,0.15814696485623003,0.26996805111821087
sz.300692,0.714,0.0,0.0,1.0,8.8,8.16,48.41,-0.0658,2026-02-26,0.07827476038338659,0.07987220447284345
sz.301043,0.714,0.0,0.0,1.0,64.89,55.46,49.96,-0.0884,2026-02-26,0.10543130990415335,0.038338658146964855
sz.002833,0.5,1.0,0.0,0.5,19.39,18.22,71.31,0.0573,2026-02-26,0.8019169329073482,0.645367412140575
sz.002803,0.5,0.5,0.5,0.5,18.36,16.48,42.61,-0.0718,2026-02-26,0.019169329073482427,0.06549520766773163
sh.601330,0.5,1.0,0.0,0.5,7.26,6.97,63.05,0.0126,2026-02-26,0.4904153354632588,0.3961661341853035
